id,Project,TeamExp,ManagerExp,YearEnd,Length,Effort,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language,source,deadline_missed,Transactions_per_Length,Entities_per_Length,Transactions_per_Entity,Adjustment_Ratio,Total_Experience,Experience_Gap
36,36,1,3,86,17,9135,317,119,436,34,432,2,real,1,18.647058823529413,7.0,2.6638655462184873,0.0779816513761468,4,-2
37,37,2,4,87,11,1435,289,88,377,28,351,3,real,0,26.272727272727273,8.0,3.284090909090909,0.07427055702917772,6,-2
38,38,-1,-1,87,8,5922,260,144,404,24,360,1,real,1,32.5,18.0,1.8055555555555556,0.0594059405940594,-2,0
39,39,1,4,88,4,847,158,59,217,18,180,3,real,1,39.5,14.75,2.6779661016949152,0.08294930875576037,5,-3
40,40,3,3,88,16,8050,302,145,447,52,523,2,real,1,18.875,9.0625,2.0827586206896553,0.116331096196868,6,0
41,41,1,1,87,9,4620,451,48,499,28,464,1,real,0,50.111111111111114,5.333333333333333,9.395833333333334,0.056112224448897796,2,0
42,42,2,4,87,34,2352,661,132,793,23,698,3,real,1,19.441176470588236,3.8823529411764706,5.007575757575758,0.029003783102143757,6,-2
43,43,1,1,88,10,2174,64,54,118,25,106,1,real,0,6.4,5.4,1.1851851851851851,0.211864406779661,2,0
44,44,-1,4,86,39,19894,284,230,514,50,591,1,real,1,7.282051282051282,5.897435897435898,1.2347826086956522,0.09727626459143969,3,-5
45,45,2,1,86,18,6699,182,126,308,35,308,1,real,1,10.11111111111111,7.0,1.4444444444444444,0.11363636363636363,3,1
46,46,2,3,87,27,14987,173,332,505,19,424,1,real,0,6.407407407407407,12.296296296296296,0.5210843373493976,0.03762376237623762,5,-1
47,47,2,2,88,9,4004,252,7,259,28,241,1,real,0,28.0,0.7777777777777778,36.0,0.10810810810810811,4,0
48,48,4,3,85,11,12824,131,180,311,51,361,1,real,1,11.909090909090908,16.363636363636363,0.7277777777777777,0.1639871382636656,7,1
49,49,2,3,85,8,2331,106,39,145,6,103,1,real,0,13.25,4.875,2.717948717948718,0.041379310344827586,5,-1
50,50,3,3,85,9,5817,96,108,204,29,192,1,real,0,10.666666666666666,12.0,0.8888888888888888,0.14215686274509803,6,0
51,51,2,3,85,7,2989,116,72,188,18,156,1,real,1,16.571428571428573,10.285714285714286,1.6111111111111112,0.09574468085106383,5,-1
52,52,3,3,85,6,3136,86,49,135,32,131,1,real,0,14.333333333333334,8.166666666666666,1.7551020408163265,0.23703703703703705,6,0
53,53,2,3,85,17,14434,221,121,342,35,342,1,real,1,13.0,7.117647058823529,1.8264462809917354,0.1023391812865497,5,-1
54,54,1,1,87,12,2583,61,96,157,18,130,1,real,1,5.083333333333333,8.0,0.6354166666666666,0.11464968152866242,2,0
55,55,1,3,86,12,3647,132,89,221,5,155,2,real,1,11.0,7.416666666666667,1.4831460674157304,0.02262443438914027,4,-2
56,56,3,7,86,13,8232,45,387,432,16,350,2,real,1,3.4615384615384617,29.76923076923077,0.11627906976744186,0.037037037037037035,10,-4
57,57,1,1,86,12,3276,55,112,167,12,129,2,real,0,4.583333333333333,9.333333333333334,0.49107142857142855,0.0718562874251497,2,0
58,58,1,4,87,8,2723,124,52,176,14,139,2,real,0,15.5,6.5,2.3846153846153846,0.07954545454545454,5,-3
59,59,3,3,87,5,3472,120,126,246,15,197,2,real,1,24.0,25.2,0.9523809523809523,0.06097560975609756,6,0
60,60,1,2,87,6,1575,47,32,79,14,62,2,real,1,7.833333333333333,5.333333333333333,1.46875,0.17721518987341772,3,-1
61,61,1,1,86,12,2926,126,107,233,23,205,2,real,1,10.5,8.916666666666666,1.1775700934579438,0.09871244635193133,2,0
62,62,3,2,86,6,1876,101,45,146,15,117,2,real,1,16.833333333333332,7.5,2.2444444444444445,0.10273972602739725,5,1
63,63,1,1,86,5,2520,78,99,177,14,140,1,real,0,15.6,19.8,0.7878787878787878,0.07909604519774012,2,0
64,64,4,7,86,13,1603,69,74,143,14,113,1,real,1,5.3076923076923075,5.6923076923076925,0.9324324324324325,0.0979020979020979,11,-3
65,65,1,3,86,8,3626,194,97,291,35,291,2,real,0,24.25,12.125,2.0,0.12027491408934708,4,-2
66,66,2,-1,87,10,6783,224,110,334,28,309,2,real,1,22.4,11.0,2.036363636363636,0.08383233532934131,1,3
67,67,2,4,87,15,11361,323,184,507,35,507,2,real,0,21.533333333333335,12.266666666666667,1.7554347826086956,0.06903353057199212,6,-2
68,68,1,3,86,6,1267,42,31,73,27,67,2,real,0,7.0,5.166666666666667,1.3548387096774193,0.3698630136986301,4,-2
69,69,1,2,87,5,2548,74,43,117,25,105,2,real,1,14.8,8.6,1.7209302325581395,0.21367521367521367,3,-1
70,70,3,4,87,10,1155,101,57,158,9,117,2,real,0,10.1,5.7,1.7719298245614035,0.056962025316455694,7,-1
71,71,0,4,86,6,546,97,42,139,6,99,3,real,0,16.166666666666668,7.0,2.3095238095238093,0.04316546762589928,4,-4
72,72,2,3,84,13,2275,134,77,211,13,165,2,real,0,10.307692307692308,5.923076923076923,1.7402597402597402,0.061611374407582936,5,-1
73,73,4,5,86,26,9100,482,227,709,26,645,2,real,1,18.53846153846154,8.73076923076923,2.1233480176211454,0.036671368124118475,9,-1
74,74,0,2,84,6,595,213,73,286,6,203,3,real,0,35.5,12.166666666666666,2.9178082191780823,0.02097902097902098,2,-2
75,75,0,-1,84,22,3941,139,143,282,22,245,2,real,1,6.318181818181818,6.5,0.972027972027972,0.07801418439716312,-1,1
76,76,2,3,86,24,13860,473,182,655,40,688,2,real,1,19.708333333333332,7.583333333333333,2.598901098901099,0.061068702290076333,5,-1
77,77,4,4,85,12,1400,229,169,398,39,414,3,real,0,19.083333333333332,14.083333333333334,1.3550295857988166,0.09798994974874371,8,0
78,78,4,3,83,12,2800,227,73,300,34,297,1,real,1,18.916666666666668,6.083333333333333,3.1095890410958904,0.11333333333333333,7,1
79,79,4,4,82,24,9520,395,193,588,40,617,1,real,1,16.458333333333332,8.041666666666666,2.0466321243523318,0.06802721088435375,8,0
80,80,4,3,86,12,5880,469,176,645,43,697,3,real,0,39.083333333333336,14.666666666666666,2.664772727272727,0.06666666666666667,7,1
81,81,4,4,85,36,23940,886,241,1127,34,1116,1,real,1,24.61111111111111,6.694444444444445,3.676348547717842,0.030168589174800354,8,0
82,82,3,3,85,15,14169,203,188,511,40,468,2,synthetic,1,13.533333333333333,12.533333333333333,1.0797872340425532,0.07827788649706457,6,0
83,83,3,2,85,8,3721,43,44,95,14,88,1,synthetic,0,5.375,5.5,0.9772727272727273,0.14736842105263157,5,1
84,84,1,0,88,16,5891,207,51,259,34,219,2,synthetic,1,12.9375,3.1875,4.0588235294117645,0.13127413127413126,1,1
85,85,3,2,86,8,2489,337,60,297,39,296,3,synthetic,1,42.125,7.5,5.616666666666666,0.13131313131313133,5,1
86,86,2,0,86,4,2560,140,61,196,28,159,1,synthetic,0,35.0,15.25,2.2950819672131146,0.14285714285714285,2,2
87,87,1,1,85,14,6698,76,186,272,21,207,1,synthetic,1,5.428571428571429,13.285714285714286,0.40860215053763443,0.07720588235294118,2,0
88,88,4,4,88,8,2371,126,129,295,25,244,1,synthetic,0,15.75,16.125,0.9767441860465116,0.0847457627118644,8,0
89,89,1,3,87,20,5777,429,148,499,31,545,2,synthetic,1,21.45,7.4,2.8986486486486487,0.06212424849699399,4,-2
90,90,2,4,85,3,1574,81,43,125,6,88,2,synthetic,0,27.0,14.333333333333334,1.8837209302325582,0.048,6,-2
91,91,3,4,85,10,2008,79,127,263,15,196,2,synthetic,0,7.9,12.7,0.6220472440944882,0.057034220532319393,7,-1
92,92,2,4,83,8,2279,94,40,135,25,108,1,synthetic,0,11.75,5.0,2.35,0.18518518518518517,6,-2
93,93,2,0,85,6,2566,69,77,155,39,154,1,synthetic,0,11.5,12.833333333333334,0.8961038961038961,0.25161290322580643,2,2
94,94,3,3,85,4,1442,82,178,240,26,245,2,synthetic,0,20.5,44.5,0.4606741573033708,0.10833333333333334,6,0
95,95,1,4,86,14,7657,127,338,365,32,349,1,synthetic,1,9.071428571428571,24.142857142857142,0.3757396449704142,0.08767123287671233,5,-3
96,96,1,1,84,9,2527,56,91,128,25,102,1,synthetic,0,6.222222222222222,10.11111111111111,0.6153846153846154,0.1953125,2,0
97,97,4,3,86,9,6094,66,173,269,18,228,1,synthetic,1,7.333333333333333,19.22222222222222,0.3815028901734104,0.06691449814126393,7,1
98,98,3,4,85,5,729,105,55,176,22,147,2,synthetic,0,21.0,11.0,1.9090909090909092,0.125,7,-1
99,99,3,3,86,6,9135,203,74,284,28,291,2,synthetic,1,33.833333333333336,12.333333333333334,2.7432432432432434,0.09859154929577464,6,0
100,100,4,2,85,17,9106,307,371,794,35,678,2,synthetic,1,18.058823529411764,21.823529411764707,0.8274932614555256,0.04408060453400504,6,2
101,101,1,2,84,12,4494,288,100,427,26,462,1,synthetic,0,24.0,8.333333333333334,2.88,0.06088992974238876,3,-1
102,102,3,1,86,5,3139,95,119,248,29,216,3,synthetic,0,19.0,23.8,0.7983193277310925,0.11693548387096774,4,2
103,103,0,1,83,13,5143,85,127,250,15,211,2,synthetic,1,6.538461538461538,9.76923076923077,0.6692913385826772,0.06,1,-1
104,104,2,1,84,11,5682,306,184,467,28,481,1,synthetic,1,27.818181818181817,16.727272727272727,1.6630434782608696,0.059957173447537475,3,1
105,105,3,4,86,39,23590,814,386,1108,38,1116,1,synthetic,1,20.871794871794872,9.897435897435898,2.1088082901554404,0.03429602888086643,7,-1
106,106,1,1,85,6,2709,498,29,257,15,207,1,synthetic,1,83.0,4.833333333333333,17.17241379310345,0.058365758754863814,2,0
107,107,4,4,87,6,1582,129,44,177,29,140,3,synthetic,0,21.5,7.333333333333333,2.9318181818181817,0.1638418079096045,8,0
108,108,4,4,85,4,2247,57,120,149,27,133,1,synthetic,0,14.25,30.0,0.475,0.18120805369127516,8,0
109,109,4,1,86,8,2767,82,227,298,16,256,1,synthetic,0,10.25,28.375,0.36123348017621143,0.053691275167785234,5,3
110,110,4,4,83,6,1580,173,45,237,34,205,1,synthetic,0,28.833333333333332,7.5,3.8444444444444446,0.14345991561181434,8,0
111,111,2,-1,87,4,2226,44,131,133,26,110,2,synthetic,0,11.0,32.75,0.33587786259541985,0.19548872180451127,1,3
112,112,4,1,87,20,8646,114,248,381,28,333,1,synthetic,1,5.7,12.4,0.4596774193548387,0.07349081364829396,5,3
113,113,1,3,87,13,14241,129,385,451,32,410,1,synthetic,0,9.923076923076923,29.615384615384617,0.33506493506493507,0.07095343680709534,4,-2
114,114,3,2,86,9,2525,89,126,270,20,228,1,synthetic,0,9.88888888888889,14.0,0.7063492063492064,0.07407407407407407,5,1
115,115,3,4,87,14,3124,116,163,333,24,291,1,synthetic,0,8.285714285714286,11.642857142857142,0.7116564417177914,0.07207207207207207,7,-1
116,116,4,3,86,14,4938,140,233,450,39,457,1,synthetic,0,10.0,16.642857142857142,0.6008583690987125,0.08666666666666667,7,1
117,117,2,4,86,9,3851,128,116,296,21,276,1,synthetic,1,14.222222222222221,12.88888888888889,1.103448275862069,0.07094594594594594,6,-2
118,118,1,0,84,14,9106,310,195,491,28,470,2,synthetic,1,22.142857142857142,13.928571428571429,1.5897435897435896,0.05702647657841141,1,1
119,119,1,4,87,9,2106,105,97,204,13,155,2,synthetic,0,11.666666666666666,10.777777777777779,1.0824742268041236,0.06372549019607843,5,-3
120,120,3,2,84,8,3479,53,49,96,24,96,2,synthetic,1,6.625,6.125,1.0816326530612246,0.25,5,1
121,121,4,4,86,11,3837,78,124,219,29,191,1,synthetic,0,7.090909090909091,11.272727272727273,0.6290322580645161,0.1324200913242009,8,0
122,122,3,4,86,12,3992,227,90,295,31,336,2,synthetic,0,18.916666666666668,7.5,2.522222222222222,0.10508474576271186,7,-1
123,123,1,2,87,13,10405,353,366,716,41,678,1,synthetic,1,27.153846153846153,28.153846153846153,0.9644808743169399,0.05726256983240224,3,-1
124,124,4,3,86,9,2345,28,75,93,28,90,1,synthetic,1,3.111111111111111,8.333333333333334,0.37333333333333335,0.3010752688172043,7,1
125,125,4,4,86,11,2332,140,45,244,37,251,3,synthetic,0,12.727272727272727,4.090909090909091,3.111111111111111,0.15163934426229508,8,0
126,126,0,4,85,8,5731,71,96,178,23,134,2,synthetic,1,8.875,12.0,0.7395833333333334,0.12921348314606743,4,-4
127,127,3,1,85,8,3908,188,141,315,19,306,1,synthetic,1,23.5,17.625,1.3333333333333333,0.06031746031746032,4,2
128,128,3,1,87,22,9567,480,178,696,51,691,2,synthetic,1,21.818181818181817,8.090909090909092,2.696629213483146,0.07327586206896551,4,2
129,129,4,4,85,25,4210,265,228,478,19,367,3,synthetic,1,10.6,9.12,1.162280701754386,0.0397489539748954,8,0
130,130,2,4,88,24,7876,608,67,430,34,380,2,synthetic,0,25.333333333333332,2.7916666666666665,9.074626865671641,0.07906976744186046,6,-2
131,131,2,-1,85,8,1563,140,76,205,25,145,2,synthetic,1,17.5,9.5,1.8421052631578947,0.12195121951219512,1,3
132,132,2,4,85,6,3042,88,55,160,14,109,2,synthetic,0,14.666666666666666,9.166666666666666,1.6,0.0875,6,-2
133,133,1,4,87,11,2352,156,69,239,24,204,1,synthetic,0,14.181818181818182,6.2727272727272725,2.260869565217391,0.100418410041841,5,-3
134,134,1,1,86,8,629,37,114,155,10,115,1,synthetic,1,4.625,14.25,0.32456140350877194,0.06451612903225806,2,0
135,135,3,7,83,24,5693,125,79,266,15,190,2,synthetic,0,5.208333333333333,3.2916666666666665,1.5822784810126582,0.05639097744360902,10,-4
136,136,1,1,86,22,13906,279,353,632,28,710,1,synthetic,1,12.681818181818182,16.045454545454547,0.7903682719546742,0.04430379746835443,2,0
137,137,3,1,86,9,2270,51,140,230,11,182,1,synthetic,0,5.666666666666667,15.555555555555555,0.36428571428571427,0.04782608695652174,4,2
138,138,1,1,84,6,1515,101,42,132,22,106,1,synthetic,0,16.833333333333332,7.0,2.4047619047619047,0.16666666666666666,2,0
139,139,1,1,85,12,6098,123,135,294,15,260,1,synthetic,0,10.25,11.25,0.9111111111111111,0.05102040816326531,2,0
140,140,1,3,85,6,671,35,50,99,6,77,3,synthetic,0,5.833333333333333,8.333333333333334,0.7,0.06060606060606061,4,-2
141,141,0,1,86,4,824,87,34,102,26,87,2,synthetic,0,21.75,8.5,2.5588235294117645,0.2549019607843137,1,-1
142,142,4,1,85,12,14116,50,142,207,32,181,1,synthetic,0,4.166666666666667,11.833333333333334,0.352112676056338,0.15458937198067632,5,3
143,143,1,2,86,8,6090,200,130,322,29,309,3,synthetic,1,25.0,16.25,1.5384615384615385,0.09006211180124224,3,-1
144,144,3,2,86,12,14973,324,139,543,37,546,3,synthetic,1,27.0,11.583333333333334,2.3309352517985613,0.06813996316758748,5,1
145,145,1,-1,86,6,2886,307,71,303,38,313,1,synthetic,0,51.166666666666664,11.833333333333334,4.323943661971831,0.1254125412541254,0,2
146,146,3,4,85,5,3716,132,71,228,52,254,3,synthetic,0,26.4,14.2,1.8591549295774648,0.22807017543859648,7,-1
147,147,3,2,85,6,4205,77,105,171,33,164,1,synthetic,0,12.833333333333334,17.5,0.7333333333333333,0.19298245614035087,5,1
148,148,4,3,86,9,2300,85,100,234,18,209,1,synthetic,1,9.444444444444445,11.11111111111111,0.85,0.07692307692307693,7,1
149,149,4,4,83,36,6390,114,81,276,34,284,1,synthetic,1,3.1666666666666665,2.25,1.4074074074074074,0.12318840579710146,8,0
150,150,3,1,85,36,14059,317,327,693,36,688,2,synthetic,1,8.805555555555555,9.083333333333334,0.9694189602446484,0.05194805194805195,4,2
151,151,3,5,86,25,18095,216,165,410,35,450,1,synthetic,0,8.64,6.6,1.309090909090909,0.08536585365853659,8,-2
152,152,0,4,86,8,2440,65,38,116,15,92,2,synthetic,0,8.125,4.75,1.7105263157894737,0.12931034482758622,4,-4
153,153,0,1,85,22,5914,99,127,244,5,177,2,synthetic,1,4.5,5.7727272727272725,0.7795275590551181,0.020491803278688523,1,-1
154,154,2,4,87,30,15399,293,130,615,32,625,1,synthetic,1,9.766666666666667,4.333333333333333,2.253846153846154,0.05203252032520325,6,-2
155,155,2,3,82,9,2596,90,87,169,16,140,1,synthetic,0,10.0,9.666666666666666,1.0344827586206897,0.09467455621301775,5,-1
156,156,2,4,88,2,2322,167,18,106,23,84,1,synthetic,0,83.5,9.0,9.277777777777779,0.2169811320754717,6,-2
157,157,1,0,85,22,13502,548,242,674,36,702,1,synthetic,1,24.90909090909091,11.0,2.2644628099173554,0.05341246290801187,1,1
158,158,1,3,83,9,2473,177,91,301,35,267,2,synthetic,0,19.666666666666668,10.11111111111111,1.945054945054945,0.11627906976744186,4,-2
159,159,3,4,87,9,4102,68,199,262,22,248,1,synthetic,0,7.555555555555555,22.11111111111111,0.3417085427135678,0.08396946564885496,7,-1
160,160,1,0,86,3,2389,42,177,114,38,120,2,synthetic,0,14.0,59.0,0.23728813559322035,0.3333333333333333,1,1
161,161,2,1,85,11,3855,293,107,378,29,342,1,synthetic,1,26.636363636363637,9.727272727272727,2.7383177570093458,0.07671957671957672,3,1
162,162,3,0,87,4,3163,116,61,177,34,167,2,synthetic,0,29.0,15.25,1.901639344262295,0.192090395480226,3,3
163,163,1,3,85,5,2681,41,137,161,23,149,2,synthetic,1,8.2,27.4,0.29927007299270075,0.14285714285714285,4,-2
164,164,4,4,86,5,663,42,53,102,13,93,3,synthetic,0,8.4,10.6,0.7924528301886793,0.12745098039215685,8,0
165,165,1,1,85,4,786,36,32,85,6,73,2,synthetic,0,9.0,8.0,1.125,0.07058823529411765,2,0
166,166,3,3,84,6,4064,83,107,302,27,313,1,synthetic,0,13.833333333333334,17.833333333333332,0.7757009345794392,0.08940397350993377,6,0
167,167,1,2,87,24,5396,641,182,667,36,717,1,synthetic,1,26.708333333333332,7.583333333333333,3.521978021978022,0.053973013493253376,3,-1
168,168,3,1,85,6,2473,94,92,217,18,179,2,synthetic,0,15.666666666666666,15.333333333333334,1.0217391304347827,0.08294930875576037,4,2
169,169,3,4,86,19,11569,320,181,445,41,477,3,synthetic,1,16.842105263157894,9.526315789473685,1.7679558011049723,0.09213483146067415,7,-1
170,170,3,1,86,5,4235,125,130,252,33,271,1,synthetic,1,25.0,26.0,0.9615384615384616,0.13095238095238096,4,2
171,171,1,3,86,7,2398,99,81,178,31,160,1,synthetic,0,14.142857142857142,11.571428571428571,1.2222222222222223,0.17415730337078653,4,-2
172,172,2,1,85,22,8700,430,61,387,41,429,1,synthetic,1,19.545454545454547,2.772727272727273,7.049180327868853,0.10594315245478036,3,1
173,173,4,3,87,24,23608,302,268,707,52,715,2,synthetic,1,12.583333333333334,11.166666666666666,1.126865671641791,0.07355021216407355,7,1
174,174,1,2,83,4,820,46,37,81,18,87,1,synthetic,1,11.5,9.25,1.2432432432432432,0.2222222222222222,3,-1
175,175,1,4,85,8,2904,196,43,242,26,202,1,synthetic,1,24.5,5.375,4.558139534883721,0.10743801652892562,5,-3
176,176,3,7,85,9,2227,82,58,146,29,141,2,synthetic,1,9.11111111111111,6.444444444444445,1.4137931034482758,0.19863013698630136,10,-4
177,177,1,1,85,13,3203,209,98,254,36,301,1,synthetic,0,16.076923076923077,7.538461538461538,2.13265306122449,0.14173228346456693,2,0
178,178,1,1,88,10,4188,211,294,513,24,482,1,synthetic,0,21.1,29.4,0.717687074829932,0.04678362573099415,2,0
179,179,1,2,86,24,5631,253,129,515,52,579,1,synthetic,1,10.541666666666666,5.375,1.9612403100775193,0.10097087378640776,3,-1
180,180,1,4,86,14,14476,342,151,575,43,609,1,synthetic,1,24.428571428571427,10.785714285714286,2.2649006622516556,0.07478260869565218,5,-3
181,181,3,4,88,23,14754,411,205,656,48,662,1,synthetic,0,17.869565217391305,8.91304347826087,2.004878048780488,0.07317073170731707,7,-1
182,182,3,2,84,10,8752,197,140,297,42,341,1,synthetic,0,19.7,14.0,1.4071428571428573,0.1414141414141414,5,1
183,183,4,4,86,14,5792,452,125,507,42,611,1,synthetic,0,32.285714285714285,8.928571428571429,3.616,0.08284023668639054,8,0
184,184,1,3,85,17,2973,179,69,327,12,233,2,synthetic,1,10.529411764705882,4.0588235294117645,2.5942028985507246,0.03669724770642202,4,-2
185,185,3,4,82,12,2677,420,40,235,34,221,2,synthetic,0,35.0,3.3333333333333335,10.5,0.14468085106382977,7,-1
186,186,1,3,86,12,2570,68,146,253,18,218,1,synthetic,1,5.666666666666667,12.166666666666666,0.4657534246575342,0.07114624505928854,4,-2
187,187,1,0,87,5,2276,120,51,182,14,156,1,synthetic,0,24.0,10.2,2.3529411764705883,0.07692307692307693,1,1
188,188,2,4,87,14,5462,238,161,481,39,502,2,synthetic,1,17.0,11.5,1.4782608695652173,0.08108108108108109,6,-2
189,189,4,3,87,23,5227,550,115,527,34,504,1,synthetic,1,23.91304347826087,5.0,4.782608695652174,0.06451612903225806,7,1
190,190,4,2,84,8,801,71,19,74,27,67,1,synthetic,0,8.875,2.375,3.736842105263158,0.36486486486486486,6,2
191,191,3,1,86,9,3782,72,241,289,25,306,1,synthetic,0,8.0,26.77777777777778,0.2987551867219917,0.08650519031141868,4,2
192,192,3,0,86,8,2420,59,60,170,31,151,2,synthetic,0,7.375,7.5,0.9833333333333333,0.18235294117647058,3,3
193,193,3,4,84,21,5998,133,244,423,35,467,1,synthetic,1,6.333333333333333,11.619047619047619,0.5450819672131147,0.08274231678486997,7,-1
194,194,4,3,86,22,8598,739,107,703,38,685,2,synthetic,1,33.59090909090909,4.863636363636363,6.906542056074766,0.05405405405405406,7,1
195,195,1,1,87,12,5943,134,127,345,39,391,2,synthetic,0,11.166666666666666,10.583333333333334,1.0551181102362204,0.11304347826086956,2,0
196,196,2,3,84,14,2633,129,42,187,28,146,3,synthetic,1,9.214285714285714,3.0,3.0714285714285716,0.1497326203208556,5,-1
197,197,4,2,85,5,2619,177,171,319,42,360,1,synthetic,1,35.4,34.2,1.0350877192982457,0.13166144200626959,6,2
198,198,2,4,85,13,2152,324,143,455,29,430,2,synthetic,1,24.923076923076923,11.0,2.265734265734266,0.06373626373626373,6,-2
199,199,3,2,85,6,2747,227,91,289,36,272,1,synthetic,1,37.833333333333336,15.166666666666666,2.4945054945054945,0.1245674740484429,5,1
200,200,4,1,86,8,2066,46,148,150,29,138,1,synthetic,0,5.75,18.5,0.3108108108108108,0.19333333333333333,5,3
201,201,3,3,86,5,3871,88,41,113,42,125,1,synthetic,0,17.6,8.2,2.1463414634146343,0.37168141592920356,6,0
202,202,2,2,85,8,12443,219,168,501,39,489,1,synthetic,1,27.375,21.0,1.3035714285714286,0.07784431137724551,4,0
203,203,2,3,85,9,5210,159,169,347,33,305,2,synthetic,1,17.666666666666668,18.77777777777778,0.9408284023668639,0.09510086455331412,5,-1
204,204,4,4,86,21,899,465,50,435,14,373,1,synthetic,0,22.142857142857142,2.380952380952381,9.3,0.03218390804597701,8,0
205,205,1,1,87,24,7454,304,230,605,35,576,1,synthetic,1,12.666666666666666,9.583333333333334,1.3217391304347825,0.05785123966942149,2,0
