id,Project,TeamExp,ManagerExp,YearEnd,Length,Effort,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language,source,deadline_missed
47,47,2,2,88,9,4004,252,7,259,28,241,1,real,1
48,48,4,3,85,11,12824,131,180,311,51,361,1,real,1
49,49,2,3,85,8,2331,106,39,145,6,103,1,real,1
50,50,3,3,85,9,5817,96,108,204,29,192,1,real,0
51,51,2,3,85,7,2989,116,72,188,18,156,1,real,1
52,52,3,3,85,6,3136,86,49,135,32,131,1,real,1
53,53,2,3,85,17,14434,221,121,342,35,342,1,real,1
54,54,1,1,87,12,2583,61,96,157,18,130,1,real,0
55,55,1,3,86,12,3647,132,89,221,5,155,2,real,1
56,56,3,7,86,13,8232,45,387,432,16,350,2,real,1
57,57,1,1,86,12,3276,55,112,167,12,129,2,real,1
58,58,1,4,87,8,2723,124,52,176,14,139,2,real,0
59,59,3,3,87,5,3472,120,126,246,15,197,2,real,1
60,60,1,2,87,6,1575,47,32,79,14,62,2,real,0
61,61,1,1,86,12,2926,126,107,233,23,205,2,real,1
62,62,3,2,86,6,1876,101,45,146,15,117,2,real,1
63,63,1,1,86,5,2520,78,99,177,14,140,1,real,1
64,64,4,7,86,13,1603,69,74,143,14,113,1,real,0
65,65,1,3,86,8,3626,194,97,291,35,291,2,real,1
66,66,2,-1,87,10,6783,224,110,334,28,309,2,real,1
67,67,2,4,87,15,11361,323,184,507,35,507,2,real,1
68,68,1,3,86,6,1267,42,31,73,27,67,2,real,0
69,69,1,2,87,5,2548,74,43,117,25,105,2,real,0
70,70,3,4,87,10,1155,101,57,158,9,117,2,real,0
71,71,0,4,86,6,546,97,42,139,6,99,3,real,0
72,72,2,3,84,13,2275,134,77,211,13,165,2,real,1
73,73,4,5,86,26,9100,482,227,709,26,645,2,real,1
74,74,0,2,84,6,595,213,73,286,6,203,3,real,0
75,75,0,-1,84,22,3941,139,143,282,22,245,2,real,0
76,76,2,3,86,24,13860,473,182,655,40,688,2,real,0
77,77,4,4,85,12,1400,229,169,398,39,414,3,real,0
78,78,4,3,83,12,2800,227,73,300,34,297,1,real,1
79,79,4,4,82,24,9520,395,193,588,40,617,1,real,1
80,80,4,3,86,12,5880,469,176,645,43,697,3,real,0
81,81,4,4,85,36,23940,886,241,1127,34,1116,1,real,1
82,82,3,3,85,15,14169,203,188,511,40,468,2,synthetic,1
83,83,3,2,85,8,3721,43,44,95,14,88,1,synthetic,0
84,84,1,0,88,16,5891,207,51,259,34,219,2,synthetic,1
85,85,3,2,86,8,2489,337,60,297,39,296,3,synthetic,0
86,86,2,0,86,4,2560,140,61,196,28,159,1,synthetic,0
87,87,1,1,85,14,6698,76,186,272,21,207,1,synthetic,1
88,88,4,4,88,8,2371,126,129,295,25,244,1,synthetic,0
89,89,1,3,87,20,5777,429,148,499,31,545,2,synthetic,1
90,90,2,4,85,3,1574,81,43,125,6,88,2,synthetic,1
91,91,3,4,85,10,2008,79,127,263,15,196,2,synthetic,0
92,92,2,4,83,8,2279,94,40,135,25,108,1,synthetic,1
93,93,2,0,85,6,2566,69,77,155,39,154,1,synthetic,0
94,94,3,3,85,4,1442,82,178,240,26,245,2,synthetic,0
95,95,1,4,86,14,7657,127,338,365,32,349,1,synthetic,0
96,96,1,1,84,9,2527,56,91,128,25,102,1,synthetic,1
97,97,4,3,86,9,6094,66,173,269,18,228,1,synthetic,1
98,98,3,4,85,5,729,105,55,176,22,147,2,synthetic,0
99,99,3,3,86,6,9135,203,74,284,28,291,2,synthetic,1
100,100,4,2,85,17,9106,307,371,794,35,678,2,synthetic,0
101,101,1,2,84,12,4494,288,100,427,26,462,1,synthetic,0
102,102,3,1,86,5,3139,95,119,248,29,216,3,synthetic,1
103,103,0,1,83,13,5143,85,127,250,15,211,2,synthetic,1
104,104,2,1,84,11,5682,306,184,467,28,481,1,synthetic,1
105,105,3,4,86,39,23590,814,386,1108,38,1116,1,synthetic,1
106,106,1,1,85,6,2709,498,29,257,15,207,1,synthetic,0
107,107,4,4,87,6,1582,129,44,177,29,140,3,synthetic,0
108,108,4,4,85,4,2247,57,120,149,27,133,1,synthetic,0
109,109,4,1,86,8,2767,82,227,298,16,256,1,synthetic,1
110,110,4,4,83,6,1580,173,45,237,34,205,1,synthetic,1
111,111,2,-1,87,4,2226,44,131,133,26,110,2,synthetic,1
112,112,4,1,87,20,8646,114,248,381,28,333,1,synthetic,1
113,113,1,3,87,13,14241,129,385,451,32,410,1,synthetic,0
114,114,3,2,86,9,2525,89,126,270,20,228,1,synthetic,1
115,115,3,4,87,14,3124,116,163,333,24,291,1,synthetic,0
116,116,4,3,86,14,4938,140,233,450,39,457,1,synthetic,0
117,117,2,4,86,9,3851,128,116,296,21,276,1,synthetic,0
118,118,1,0,84,14,9106,310,195,491,28,470,2,synthetic,0
119,119,1,4,87,9,2106,105,97,204,13,155,2,synthetic,0
120,120,3,2,84,8,3479,53,49,96,24,96,2,synthetic,1
121,121,4,4,86,11,3837,78,124,219,29,191,1,synthetic,1
122,122,3,4,86,12,3992,227,90,295,31,336,2,synthetic,1
123,123,1,2,87,13,10405,353,366,716,41,678,1,synthetic,1
124,124,4,3,86,9,2345,28,75,93,28,90,1,synthetic,1
125,125,4,4,86,11,2332,140,45,244,37,251,3,synthetic,0
126,126,0,4,85,8,5731,71,96,178,23,134,2,synthetic,1
127,127,3,1,85,8,3908,188,141,315,19,306,1,synthetic,0
128,128,3,1,87,22,9567,480,178,696,51,691,2,synthetic,1
129,129,4,4,85,25,4210,265,228,478,19,367,3,synthetic,0
130,130,2,4,88,24,7876,608,67,430,34,380,2,synthetic,0
131,131,2,-1,85,8,1563,140,76,205,25,145,2,synthetic,0
132,132,2,4,85,6,3042,88,55,160,14,109,2,synthetic,0
133,133,1,4,87,11,2352,156,69,239,24,204,1,synthetic,0
134,134,1,1,86,8,629,37,114,155,10,115,1,synthetic,0
135,135,3,7,83,24,5693,125,79,266,15,190,2,synthetic,1
136,136,1,1,86,22,13906,279,353,632,28,710,1,synthetic,1
137,137,3,1,86,9,2270,51,140,230,11,182,1,synthetic,1
138,138,1,1,84,6,1515,101,42,132,22,106,1,synthetic,0
139,139,1,1,85,12,6098,123,135,294,15,260,1,synthetic,0
140,140,1,3,85,6,671,35,50,99,6,77,3,synthetic,0
141,141,0,1,86,4,824,87,34,102,26,87,2,synthetic,0
142,142,4,1,85,12,14116,50,142,207,32,181,1,synthetic,1
143,143,1,2,86,8,6090,200,130,322,29,309,3,synthetic,1
144,144,3,2,86,12,14973,324,139,543,37,546,3,synthetic,0
145,145,1,-1,86,6,2886,307,71,303,38,313,1,synthetic,0
146,146,3,4,85,5,3716,132,71,228,52,254,3,synthetic,1
147,147,3,2,85,6,4205,77,105,171,33,164,1,synthetic,1
148,148,4,3,86,9,2300,85,100,234,18,209,1,synthetic,0
149,149,4,4,83,36,6390,114,81,276,34,284,1,synthetic,0
150,150,3,1,85,36,14059,317,327,693,36,688,2,synthetic,1
151,151,3,5,86,25,18095,216,165,410,35,450,1,synthetic,1
152,152,0,4,86,8,2440,65,38,116,15,92,2,synthetic,1
153,153,0,1,85,22,5914,99,127,244,5,177,2,synthetic,0
154,154,2,4,87,30,15399,293,130,615,32,625,1,synthetic,0
155,155,2,3,82,9,2596,90,87,169,16,140,1,synthetic,0
156,156,2,4,88,2,2322,167,18,106,23,84,1,synthetic,1
157,157,1,0,85,22,13502,548,242,674,36,702,1,synthetic,0
158,158,1,3,83,9,2473,177,91,301,35,267,2,synthetic,0
159,159,3,4,87,9,4102,68,199,262,22,248,1,synthetic,0
160,160,1,0,86,3,2389,42,177,114,38,120,2,synthetic,1
161,161,2,1,85,11,3855,293,107,378,29,342,1,synthetic,0
162,162,3,0,87,4,3163,116,61,177,34,167,2,synthetic,1
163,163,1,3,85,5,2681,41,137,161,23,149,2,synthetic,1
164,164,4,4,86,5,663,42,53,102,13,93,3,synthetic,0
165,165,1,1,85,4,786,36,32,85,6,73,2,synthetic,1
166,166,3,3,84,6,4064,83,107,302,27,313,1,synthetic,0
167,167,1,2,87,24,5396,641,182,667,36,717,1,synthetic,0
168,168,3,1,85,6,2473,94,92,217,18,179,2,synthetic,0
169,169,3,4,86,19,11569,320,181,445,41,477,3,synthetic,0
170,170,3,1,86,5,4235,125,130,252,33,271,1,synthetic,0
171,171,1,3,86,7,2398,99,81,178,31,160,1,synthetic,1
172,172,2,1,85,22,8700,430,61,387,41,429,1,synthetic,1
173,173,4,3,87,24,23608,302,268,707,52,715,2,synthetic,1
174,174,1,2,83,4,820,46,37,81,18,87,1,synthetic,1
175,175,1,4,85,8,2904,196,43,242,26,202,1,synthetic,1
176,176,3,7,85,9,2227,82,58,146,29,141,2,synthetic,0
177,177,1,1,85,13,3203,209,98,254,36,301,1,synthetic,0
178,178,1,1,88,10,4188,211,294,513,24,482,1,synthetic,0
179,179,1,2,86,24,5631,253,129,515,52,579,1,synthetic,0
180,180,1,4,86,14,14476,342,151,575,43,609,1,synthetic,1
181,181,3,4,88,23,14754,411,205,656,48,662,1,synthetic,1
182,182,3,2,84,10,8752,197,140,297,42,341,1,synthetic,1
183,183,4,4,86,14,5792,452,125,507,42,611,1,synthetic,0
184,184,1,3,85,17,2973,179,69,327,12,233,2,synthetic,0
185,185,3,4,82,12,2677,420,40,235,34,221,2,synthetic,1
186,186,1,3,86,12,2570,68,146,253,18,218,1,synthetic,0
187,187,1,0,87,5,2276,120,51,182,14,156,1,synthetic,1
188,188,2,4,87,14,5462,238,161,481,39,502,2,synthetic,1
189,189,4,3,87,23,5227,550,115,527,34,504,1,synthetic,1
190,190,4,2,84,8,801,71,19,74,27,67,1,synthetic,0
191,191,3,1,86,9,3782,72,241,289,25,306,1,synthetic,0
192,192,3,0,86,8,2420,59,60,170,31,151,2,synthetic,0
193,193,3,4,84,21,5998,133,244,423,35,467,1,synthetic,0
194,194,4,3,86,22,8598,739,107,703,38,685,2,synthetic,1
195,195,1,1,87,12,5943,134,127,345,39,391,2,synthetic,1
196,196,2,3,84,14,2633,129,42,187,28,146,3,synthetic,0
197,197,4,2,85,5,2619,177,171,319,42,360,1,synthetic,0
198,198,2,4,85,13,2152,324,143,455,29,430,2,synthetic,1
199,199,3,2,85,6,2747,227,91,289,36,272,1,synthetic,0
200,200,4,1,86,8,2066,46,148,150,29,138,1,synthetic,0
201,201,3,3,86,5,3871,88,41,113,42,125,1,synthetic,1
202,202,2,2,85,8,12443,219,168,501,39,489,1,synthetic,1
203,203,2,3,85,9,5210,159,169,347,33,305,2,synthetic,1
204,204,4,4,86,21,899,465,50,435,14,373,1,synthetic,1
205,205,1,1,87,24,7454,304,230,605,35,576,1,synthetic,0
206,206,4,4,87,14,10970,308,330,717,36,702,1,synthetic,1
207,207,1,2,88,5,2240,136,77,249,38,238,2,synthetic,1
208,208,2,4,85,20,2888,267,148,417,35,433,1,synthetic,0
209,209,2,3,87,10,2177,51,191,197,13,125,2,synthetic,1
210,210,1,0,86,19,14096,179,387,758,36,661,2,synthetic,0
211,211,4,2,87,5,3942,449,172,522,48,691,2,synthetic,0
212,212,4,4,86,12,3877,95,100,171,27,141,1,synthetic,0
213,213,1,2,85,19,12758,99,122,266,18,252,2,synthetic,1
214,214,3,1,85,11,2058,80,88,161,29,127,1,synthetic,1
215,215,3,4,86,23,8648,168,207,444,34,443,2,synthetic,1
216,216,1,1,88,4,4965,54,60,106,35,101,2,synthetic,1
217,217,4,3,87,12,2920,472,43,342,37,351,1,synthetic,0
218,218,2,2,87,10,3545,245,262,493,18,434,2,synthetic,0
219,219,4,3,83,34,22522,235,377,795,39,837,1,synthetic,0
220,220,1,1,86,6,832,95,41,126,6,102,1,synthetic,0
221,221,4,0,85,13,11631,96,371,438,31,443,1,synthetic,1
222,222,3,3,85,14,2823,170,44,201,18,157,3,synthetic,0
223,223,4,4,87,17,2821,121,244,377,44,423,2,synthetic,0
224,224,2,2,85,12,3746,229,162,341,18,318,2,synthetic,1
225,225,3,1,86,3,2022,299,43,271,35,297,3,synthetic,1
226,226,4,3,85,12,5989,117,235,347,26,306,1,synthetic,1
227,227,1,2,87,9,6520,222,111,376,38,429,3,synthetic,1
228,228,2,1,88,5,2110,66,56,128,30,109,1,synthetic,0
229,229,3,3,86,4,704,55,30,85,34,86,2,synthetic,0
230,230,2,4,87,12,3056,92,91,200,25,191,2,synthetic,0
231,231,2,3,86,20,14156,104,51,214,18,170,1,synthetic,1
232,232,1,-1,86,9,6549,130,34,131,33,115,1,synthetic,0
233,233,2,3,86,14,5380,99,272,349,28,314,1,synthetic,0
234,234,1,1,85,8,9609,82,56,192,31,154,3,synthetic,0
235,235,4,3,86,31,15165,226,387,735,43,721,1,synthetic,0
236,236,4,5,86,12,2703,171,68,327,26,321,1,synthetic,0
237,237,2,1,87,5,4747,76,51,156,38,178,2,synthetic,1
238,238,4,2,85,5,4724,96,94,266,35,258,1,synthetic,1
239,239,4,3,83,19,8215,236,323,683,42,692,1,synthetic,1
240,240,2,1,86,5,609,222,20,142,18,110,2,synthetic,0
241,241,4,4,84,8,2822,139,77,292,32,309,1,synthetic,0
242,242,4,4,86,13,1960,166,56,229,29,197,2,synthetic,0
243,243,2,3,85,27,9122,832,209,802,40,821,1,synthetic,0
244,244,4,4,85,12,2105,104,51,168,30,159,1,synthetic,0
245,245,3,1,87,13,10766,146,145,282,29,317,1,synthetic,1
246,246,2,3,85,6,2056,147,49,262,19,212,1,synthetic,1
247,247,4,1,86,4,618,120,33,166,19,148,3,synthetic,0
248,248,4,7,87,37,21780,676,383,1127,34,1080,3,synthetic,0
249,249,2,3,87,8,3951,210,98,426,24,335,1,synthetic,0
250,250,1,-1,86,8,3243,309,93,311,48,352,1,synthetic,1
251,251,3,3,86,6,2322,188,174,476,23,348,1,synthetic,0
252,252,2,0,86,11,4004,124,45,179,26,133,1,synthetic,1
253,253,-1,1,84,17,14875,250,135,440,22,354,1,synthetic,1
254,254,4,4,86,12,3690,86,76,191,28,169,2,synthetic,0
255,255,1,4,84,9,2925,83,33,117,25,110,1,synthetic,0
256,256,2,4,87,4,1092,124,32,132,11,100,1,synthetic,0
257,257,2,0,84,16,3993,108,128,316,18,281,1,synthetic,1
258,258,3,4,87,12,3541,88,114,202,5,135,1,synthetic,0
259,259,4,0,86,5,3807,317,76,308,38,353,2,synthetic,1
260,260,1,1,85,6,1571,108,112,285,21,245,1,synthetic,0
261,261,0,3,86,8,2639,784,68,500,25,450,1,synthetic,0
262,262,2,1,85,15,3555,475,175,525,43,624,1,synthetic,0
263,263,4,4,86,6,2147,179,49,223,16,188,3,synthetic,1
264,264,4,3,84,12,12823,172,235,373,43,394,1,synthetic,1
265,265,4,4,85,39,19081,473,318,817,39,684,2,synthetic,1
266,266,2,4,88,6,4295,289,88,287,26,287,1,synthetic,1
267,267,2,1,87,6,4576,192,91,275,31,239,3,synthetic,1
268,268,4,3,86,23,20369,473,198,714,44,652,2,synthetic,1
269,269,3,1,84,16,5018,212,129,399,36,399,1,synthetic,0
270,270,4,1,87,12,15232,117,127,282,38,313,2,synthetic,1
271,271,3,4,86,22,9362,190,255,635,31,589,2,synthetic,0
272,272,4,3,86,3,2560,59,73,155,28,124,1,synthetic,1
273,273,1,3,87,8,4548,238,61,292,24,302,1,synthetic,0
274,274,3,4,86,11,2729,126,94,286,7,191,2,synthetic,0
275,275,1,3,88,23,6619,221,167,490,18,403,2,synthetic,1
276,276,4,4,86,13,8576,40,316,207,12,156,2,synthetic,1
277,277,4,4,84,21,17069,503,387,1083,40,1042,2,synthetic,1
278,278,2,1,86,34,9320,298,224,604,47,682,2,synthetic,0
279,279,2,1,87,4,1425,79,42,119,13,96,2,synthetic,1
280,280,0,3,86,9,1223,90,38,139,25,113,2,synthetic,1
281,281,2,3,87,14,5748,125,128,255,39,256,1,synthetic,0
282,282,4,4,85,8,1165,35,41,79,26,70,3,synthetic,0
283,283,4,3,86,12,13669,301,127,409,26,366,1,synthetic,1
284,284,2,1,88,7,3782,108,59,181,34,182,1,synthetic,0
285,285,4,4,86,12,6962,185,233,447,33,485,2,synthetic,0
286,286,1,2,85,8,2936,124,34,127,22,102,1,synthetic,0
287,287,1,4,87,6,3826,190,51,299,15,251,1,synthetic,1
288,288,4,3,86,25,6905,258,180,433,39,527,1,synthetic,0
289,289,0,3,87,4,2484,180,38,167,13,116,2,synthetic,0
290,290,2,4,85,21,14943,195,211,364,27,356,3,synthetic,1
291,291,4,2,84,8,3451,133,55,222,31,204,1,synthetic,1
292,292,3,3,83,8,3107,120,78,198,43,222,1,synthetic,0
293,293,2,4,87,9,5865,185,110,318,17,306,1,synthetic,0
294,294,1,2,85,23,22313,477,324,699,36,660,1,synthetic,1
295,295,1,2,86,6,642,128,33,131,35,109,1,synthetic,1
296,296,-1,0,86,13,15539,126,239,351,27,366,1,synthetic,1
297,297,0,2,86,12,7888,212,140,340,35,361,1,synthetic,0
298,298,3,3,86,13,4223,314,108,324,41,319,1,synthetic,1
299,299,1,1,86,18,1914,854,109,692,30,697,1,synthetic,0
300,300,3,4,85,14,4894,166,119,308,40,334,2,synthetic,1
301,301,-1,1,88,8,2957,117,133,287,12,260,3,synthetic,0
302,302,1,0,86,6,4046,229,104,349,40,322,3,synthetic,0
303,303,3,4,87,17,11923,323,222,637,38,625,2,synthetic,0
304,304,2,1,85,6,2619,69,61,108,27,94,1,synthetic,0
305,305,1,3,85,15,2299,94,53,161,24,121,2,synthetic,0
306,306,2,-1,85,12,2486,132,87,280,13,194,1,synthetic,0
307,307,2,4,85,24,8451,175,281,454,36,465,2,synthetic,1
308,308,4,7,88,17,3613,183,49,210,19,164,2,synthetic,1
309,309,2,1,87,15,6092,199,112,347,40,334,2,synthetic,1
310,310,1,1,87,4,846,57,75,146,19,113,3,synthetic,1
311,311,2,3,85,9,3975,98,34,120,39,129,2,synthetic,1
312,312,4,4,86,13,4268,114,123,289,36,316,2,synthetic,0
313,313,1,2,84,12,2253,41,70,99,12,88,1,synthetic,0
314,314,1,4,86,12,4076,248,58,338,27,320,3,synthetic,1
315,315,1,-1,87,12,6134,120,82,233,18,203,1,synthetic,1
316,316,1,3,86,8,3799,99,94,230,15,179,3,synthetic,0
317,317,1,2,86,5,546,58,115,193,13,153,1,synthetic,0
318,318,2,4,85,5,3927,187,119,342,33,345,1,synthetic,1
319,319,3,3,85,7,3300,296,41,219,35,191,2,synthetic,1
320,320,2,3,86,9,9119,67,110,176,14,138,1,synthetic,1
321,321,4,4,88,13,2395,93,89,168,35,197,2,synthetic,0
322,322,1,2,85,12,8493,495,70,388,27,325,1,synthetic,0
323,323,3,4,83,12,3003,151,56,279,12,223,3,synthetic,1
324,324,4,4,87,12,3477,123,235,276,38,291,2,synthetic,1
325,325,2,1,84,13,2046,176,206,307,25,299,2,synthetic,1
326,326,3,3,85,8,3895,349,80,390,24,318,1,synthetic,0
327,327,3,4,85,15,3870,164,56,252,37,243,1,synthetic,0
328,328,1,3,87,8,2938,463,56,289,26,310,2,synthetic,1
329,329,2,1,86,18,14630,183,84,327,29,318,1,synthetic,1
330,330,0,3,86,4,2547,112,39,150,30,108,1,synthetic,1
331,331,3,5,87,5,4918,122,60,177,28,156,2,synthetic,1
332,332,2,4,86,5,1945,46,93,145,15,96,1,synthetic,1
333,333,2,4,83,13,9131,104,268,433,14,352,1,synthetic,0
334,334,1,2,86,12,3192,95,95,180,13,134,1,synthetic,1
335,335,1,3,85,11,1317,71,123,205,12,153,1,synthetic,0
336,336,4,3,86,8,7905,438,174,587,30,602,2,synthetic,1
337,337,3,4,85,25,12307,108,324,387,30,345,1,synthetic,1
338,338,4,7,87,23,4995,273,278,627,42,659,3,synthetic,0
339,339,3,4,86,14,7972,136,123,244,34,295,1,synthetic,0
340,340,3,4,86,12,5621,85,121,268,35,225,1,synthetic,1
341,341,2,0,88,7,5440,204,116,319,35,313,2,synthetic,1
342,342,4,4,86,13,3468,44,253,236,14,159,1,synthetic,0
343,343,1,4,86,14,6894,89,308,388,25,322,2,synthetic,0
344,344,0,2,86,5,603,33,80,99,24,87,2,synthetic,0
345,345,0,0,87,14,4806,134,114,303,34,291,1,synthetic,0
346,346,2,0,86,5,3686,68,50,142,28,125,2,synthetic,1
347,347,1,1,85,5,3700,223,34,150,19,117,1,synthetic,1
348,348,2,0,85,5,1186,97,50,135,27,107,1,synthetic,1
349,349,2,4,86,24,3100,322,171,406,35,489,1,synthetic,1
350,350,1,1,85,13,6269,290,133,427,19,389,3,synthetic,1
351,351,4,3,84,12,1631,130,93,273,34,268,1,synthetic,1
352,352,3,1,86,10,3499,152,78,250,38,223,2,synthetic,0
353,353,0,4,88,21,2419,269,72,296,22,330,1,synthetic,0
354,354,1,1,85,5,1165,83,39,126,35,113,1,synthetic,0
355,355,3,4,86,14,4588,256,145,392,37,430,1,synthetic,1
356,356,1,2,87,13,3839,299,305,604,18,554,2,synthetic,0
357,357,4,3,87,24,3626,269,83,426,46,474,2,synthetic,0
358,358,1,4,86,8,2745,128,33,141,16,107,1,synthetic,0
359,359,4,1,86,17,5409,138,235,393,37,453,2,synthetic,0
360,360,2,1,84,5,1121,478,77,325,19,311,1,synthetic,1
361,361,3,4,87,10,3422,177,102,218,26,176,3,synthetic,0
362,362,2,7,87,14,3693,280,145,543,28,521,2,synthetic,0
363,363,1,3,85,5,3133,67,54,135,31,126,2,synthetic,0
364,364,1,1,83,5,834,70,40,165,19,124,2,synthetic,0
365,365,1,4,84,36,3455,71,345,397,10,300,1,synthetic,0
366,366,-1,1,85,9,5699,99,113,200,25,151,2,synthetic,1
367,367,1,1,85,13,8790,179,135,301,34,301,1,synthetic,1
368,368,4,3,84,27,17901,315,387,882,49,967,1,synthetic,0
369,369,4,4,85,9,1348,89,48,141,32,132,2,synthetic,0
370,370,2,3,85,16,1185,97,89,244,15,153,1,synthetic,0
371,371,3,2,85,5,1656,83,42,98,33,97,1,synthetic,1
372,372,3,1,85,9,3717,181,130,295,34,299,1,synthetic,0
373,373,4,4,86,19,6792,442,179,581,49,658,1,synthetic,1
374,374,1,1,84,13,5161,184,119,449,37,432,1,synthetic,1
375,375,4,1,84,13,15074,187,122,313,34,320,2,synthetic,1
376,376,1,0,85,9,5874,97,261,331,40,343,1,synthetic,0
377,377,4,1,86,16,7307,255,78,295,37,327,2,synthetic,1
378,378,3,1,86,14,2696,198,122,307,35,324,1,synthetic,0
379,379,1,1,87,3,1629,35,54,93,26,76,1,synthetic,0
380,380,2,4,86,13,4717,223,46,302,35,278,1,synthetic,1
381,381,2,3,88,9,3913,305,153,378,35,431,1,synthetic,1
382,382,3,4,86,36,17283,440,376,905,36,759,2,synthetic,0
383,383,4,3,87,27,13555,109,310,287,41,333,2,synthetic,1
384,384,1,3,86,28,5976,130,348,654,26,654,1,synthetic,0
385,385,4,3,82,8,7931,430,163,467,52,623,1,synthetic,1
386,386,2,3,88,24,14326,320,223,666,37,579,2,synthetic,1
387,387,2,3,86,5,2404,93,170,320,22,301,1,synthetic,1
388,388,2,2,86,12,2629,70,125,216,15,194,1,synthetic,1
389,389,1,3,85,13,4458,231,85,301,28,312,2,synthetic,0
390,390,2,0,85,6,2533,95,60,174,34,156,1,synthetic,1
391,391,1,0,86,4,1492,70,39,101,18,82,3,synthetic,1
392,392,3,2,86,8,2086,99,45,176,8,113,2,synthetic,0
393,393,3,3,85,39,15566,210,274,442,33,424,1,synthetic,1
394,394,4,3,86,10,2744,309,64,434,40,475,1,synthetic,0
395,395,3,4,85,4,1162,125,52,137,26,126,2,synthetic,0
396,396,4,4,85,17,5156,69,106,241,24,200,1,synthetic,1
397,397,2,4,87,26,22999,311,336,622,45,697,3,synthetic,1
398,398,3,1,87,6,1807,71,49,117,32,102,2,synthetic,1
399,399,3,4,85,7,2157,94,134,264,15,248,1,synthetic,1
400,400,1,3,84,13,3364,99,56,185,32,181,1,synthetic,0
401,401,3,0,87,6,3199,66,47,112,34,103,1,synthetic,0
402,402,-1,-1,84,4,2972,17,50,79,34,74,1,synthetic,1
403,403,3,3,86,3,2420,94,81,326,6,262,2,synthetic,1
404,404,2,3,86,8,2819,97,106,176,31,155,2,synthetic,0
405,405,1,1,85,17,4023,238,65,325,32,345,2,synthetic,0
406,406,2,4,85,13,9292,130,234,371,30,321,1,synthetic,1
407,407,3,3,88,12,12600,328,234,618,36,662,2,synthetic,0
408,408,4,4,86,9,2537,43,94,166,15,128,1,synthetic,0
409,409,2,3,85,5,2262,12,79,75,28,69,2,synthetic,1
410,410,3,4,86,6,6887,241,103,438,25,323,1,synthetic,1
411,411,1,1,85,5,4170,106,98,199,14,159,2,synthetic,1
412,412,0,1,85,4,4653,219,76,320,22,317,3,synthetic,1
413,413,2,3,83,20,11782,288,75,311,34,304,2,synthetic,0
414,414,1,4,87,24,9361,294,176,442,28,382,3,synthetic,0
